"DATE_","ID","TSECS_BST","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","Dist_to_colony_km"
2010-05-26,1,47815,56.00198,-3.17138,"TS","Travelling",0.01424,2.09640864216
2010-05-26,1,47816,56.00211,-3.17133,"TS","Travelling",0.01424,2.11035252139
2010-05-26,1,47817,56.00223,-3.17128,"TS","Travelling",0.01424,2.12430055651
2010-05-26,1,47818,56.00236,-3.17123,"TS","Travelling",0.01424,2.13825266667
2010-05-26,1,47819,56.00248,-3.17118,"TS","Travelling",0.01231,2.15220877225
2010-05-26,1,47820,56.00259,-3.17117,"TS","Travelling",0.01231,2.16451019691
2010-05-26,1,47821,56.0027,-3.17115,"TS","Travelling",0.01231,2.17681185876
2010-05-26,1,47822,56.00281,-3.17114,"TS","Travelling",0.01231,2.18911376379
2010-05-26,1,47823,56.00292,-3.17112,"TS","Travelling",0.01231,2.20141588776
2010-05-26,1,47824,56.00304,-3.17111,"TS","Travelling",0.01231,2.21371823718
2010-05-26,1,47825,56.00315,-3.1711,"TS","Travelling",0.01231,2.22602080797
2010-05-26,1,47826,56.00326,-3.17108,"TS","Travelling",0.01231,2.2383236068
2010-05-26,1,47827,56.00337,-3.17107,"TS","Travelling",0.01373,2.25062660976
2010-05-26,1,47828,56.00349,-3.17105,"TS","Travelling",0.01373,2.2643279091
2010-05-26,1,47829,56.00361,-3.17102,"TS","Travelling",0.01373,2.27802970297
2010-05-26,1,47830,56.00374,-3.171,"TS","Travelling",0.01373,2.29173196232
2010-05-26,1,47831,56.00386,-3.17098,"TS","Travelling",0.01373,2.30543469864
2010-05-26,1,47832,56.00398,-3.17096,"TS","Travelling",0.01373,2.31913788403
2010-05-26,1,47833,56.0041,-3.17094,"TS","Travelling",0.01373,2.33284153
2010-05-26,1,47834,56.00423,-3.17092,"TS","Travelling",0.01373,2.34654561826
2010-05-26,1,47835,56.00435,-3.1709,"TS","Travelling",0.01405,2.36025014185
2010-05-26,1,47836,56.00447,-3.17082,"TS","Travelling",0.01405,2.37357096279
2010-05-26,1,47837,56.00459,-3.17075,"TS","Travelling",0.01405,2.3869003
2010-05-26,1,47838,56.00471,-3.17067,"TS","Travelling",0.01405,2.40023803138
2010-05-26,1,47839,56.00482,-3.17059,"TS","Travelling",0.01405,2.41358398794
2010-05-26,1,47840,56.00494,-3.17051,"TS","Travelling",0.01405,2.42693806361
2010-05-26,1,47841,56.00506,-3.17044,"TS","Travelling",0.01405,2.44030010525
2010-05-26,1,47842,56.00518,-3.17036,"TS","Travelling",0.01405,2.45366998255
2010-05-26,1,47843,56.0053,-3.17028,"TS","Travelling",0.01422,2.46704757791
2010-05-26,1,47844,56.00542,-3.17021,"TS","Travelling",0.01422,2.48065954344
2010-05-26,1,47845,56.00554,-3.17013,"TS","Travelling",0.01422,2.4942784987
2010-05-26,1,47846,56.00566,-3.17006,"TS","Travelling",0.01422,2.50790433964
2010-05-26,1,47847,56.00578,-3.16998,"TS","Travelling",0.01422,2.52153694464
2010-05-26,1,47848,56.0059,-3.16991,"TS","Travelling",0.01422,2.53517621499
2010-05-26,1,47849,56.00602,-3.16983,"TS","Travelling",0.01422,2.54882204248
2010-05-26,1,47850,56.00615,-3.16976,"TS","Travelling",0.01422,2.56247431358
2010-05-26,1,47851,56.00627,-3.16968,"TS","Travelling",0.01392,2.5761329344
2010-05-26,1,47852,56.00639,-3.16962,"TS","Travelling",0.01391,2.58974530665
2010-05-26,1,47853,56.00651,-3.16957,"TS","Travelling",0.01391,2.60336105165
2010-05-26,1,47854,56.00663,-3.16951,"TS","Travelling",0.01391,2.61698012798
2010-05-26,1,47855,56.00675,-3.16945,"TS","Travelling",0.01391,2.63060247264
2010-05-26,1,47856,56.00687,-3.16939,"TS","Travelling",0.01391,2.64422804565
2010-05-26,1,47857,56.00699,-3.16933,"TS","Travelling",0.01391,2.65785678675
2010-05-26,1,47858,56.00711,-3.16928,"TS","Travelling",0.01391,2.67148864804
2010-05-26,1,47859,56.00723,-3.16922,"TS","Travelling",0.01305,2.68512359189
2010-05-26,1,47860,56.00735,-3.16917,"TS","Travelling",0.01305,2.6980212452
2010-05-26,1,47861,56.00746,-3.16912,"TS","Travelling",0.01305,2.71092054656
2010-05-26,1,47862,56.00758,-3.16908,"TS","Travelling",0.01305,2.72382146265
2010-05-26,1,47863,56.00769,-3.16903,"TS","Travelling",0.01305,2.73672397137
2010-05-26,1,47864,56.00781,-3.16899,"TS","Travelling",0.01305,2.74962804945
2010-05-26,1,47865,56.00792,-3.16894,"TS","Travelling",0.01305,2.76253368482
2010-05-26,1,47866,56.00804,-3.1689,"TS","Travelling",0.01305,2.77544083668
2010-05-26,1,47867,56.00815,-3.16885,"TS","Travelling",0.01303,2.78834950294
2010-05-26,1,47868,56.00826,-3.16881,"TS","Travelling",0.01303,2.80125124253
2010-05-26,1,47869,56.00838,-3.16876,"TS","Travelling",0.01303,2.81415426536
2010-05-26,1,47870,56.00849,-3.16872,"TS","Travelling",0.01303,2.82705856297
2010-05-26,1,47871,56.00861,-3.16868,"TS","Travelling",0.01303,2.83996409813
2010-05-26,1,47872,56.00872,-3.16863,"TS","Travelling",0.01303,2.85287087461
2010-05-26,1,47873,56.00884,-3.16859,"TS","Travelling",0.01303,2.86577886493
2010-05-26,1,47874,56.00895,-3.16854,"TS","Travelling",0.01303,2.87868805356
2010-05-26,1,47875,56.00907,-3.1685,"TS","Travelling",0.01289,2.89159843352
2010-05-26,1,47876,56.00918,-3.16847,"TS","Travelling",0.01289,2.90445554784
2010-05-26,1,47877,56.0093,-3.16844,"TS","Travelling",0.01289,2.91731305531
2010-05-26,1,47878,56.00941,-3.16841,"TS","Travelling",0.01289,2.93017093009
2010-05-26,1,47879,56.00952,-3.16838,"TS","Travelling",0.01289,2.94302918627
2010-05-26,1,47880,56.00964,-3.16834,"TS","Travelling",0.01289,2.95588780987
2010-05-26,1,47881,56.00975,-3.16831,"TS","Travelling",0.01289,2.9687467961
2010-05-26,1,47882,56.00987,-3.16828,"TS","Travelling",0.01289,2.98160614112
2010-05-26,1,47883,56.00998,-3.16825,"TS","Travelling",0.01302,2.99446584761
2010-05-26,1,47884,56.0101,-3.16823,"TS","Travelling",0.01302,3.00750075462
2010-05-26,1,47885,56.01022,-3.16821,"TS","Travelling",0.01302,3.02053567893
2010-05-26,1,47886,56.01033,-3.16819,"TS","Travelling",0.01302,3.03357061853
2010-05-26,1,47887,56.01045,-3.16818,"TS","Travelling",0.01302,3.046605575
2010-05-26,1,47888,56.01057,-3.16816,"TS","Travelling",0.01302,3.05964055716
2010-05-26,1,47889,56.01068,-3.16814,"TS","Travelling",0.01302,3.0726755458
2010-05-26,1,47890,56.0108,-3.16812,"TS","Travelling",0.01302,3.08571055972
2010-05-26,1,47891,56.01092,-3.1681,"TS","Travelling",0.01275,3.0987455788
2010-05-26,1,47892,56.01103,-3.16809,"TS","Travelling",0.01275,3.11150213825
2010-05-26,1,47893,56.01115,-3.16808,"TS","Travelling",0.01275,3.12425876113
2010-05-26,1,47894,56.01126,-3.16808,"TS","Travelling",0.01275,3.13701542597
2010-05-26,1,47895,56.01138,-3.16807,"TS","Travelling",0.01275,3.14977215293
