"COLONY","ID","SPECIES","STAGE","TSECS","observedState","decodedState"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57062,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57063,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57064,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57065,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57066,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57067,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57068,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57069,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57070,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57071,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57072,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57073,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57074,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57075,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57076,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57077,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57078,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57079,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57080,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57081,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57082,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57083,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57084,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57085,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57086,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57087,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57088,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57089,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57090,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57091,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57092,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57093,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57094,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57095,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57096,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57097,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57098,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57099,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57100,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57101,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57102,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57103,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57104,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57105,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57106,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57107,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57108,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57109,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57110,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57111,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57112,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57113,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57114,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57115,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57116,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57117,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57118,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57119,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57120,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57121,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57122,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57123,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57124,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57125,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57126,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57127,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57128,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57129,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57130,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57131,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57132,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57133,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57134,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57135,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57136,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57137,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57138,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57139,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57140,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57141,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57142,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57143,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57144,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57145,"Foraging","Foraging"
