"COLONY","ID","SPECIES","STAGE","TSECS","observedState","decodedState"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37381,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37382,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37383,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37384,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37385,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37386,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37387,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37388,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37389,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37390,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37391,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37392,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37393,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37394,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37395,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37396,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37397,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37398,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37399,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37400,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37401,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37402,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37403,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37404,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37405,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37406,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37407,"Not-foraging","Not-foraging"
"Cockle Island, Groomsport",8,"Sandwich","Incubation",37408,"Not-foraging","Not-foraging"
