"DATE_","ID","TSECS","SPECIES","LATITUDE","LONGITUDE","CONTBEH","DIST2COL","Observed_2State","Observed_3State","Observed_StateTw"
"2010-06-21",10,48277,"Roseate tern",55.32611,-1.52378,"DF",1268.02778,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48278,"Roseate tern",55.32608,-1.52363,"DF",1277.52224,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48279,"Roseate tern",55.32604,-1.52347,"DF",1287.03312,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48280,"Roseate tern",55.326,-1.52332,"DF",1296.56006,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48281,"Roseate tern",55.32597,-1.52317,"DF",1306.10269,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48282,"Roseate tern",55.3259,-1.52305,"DF",1316.71143,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48283,"Roseate tern",55.32583,-1.52293,"DF",1327.32051,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48284,"Roseate tern",55.32577,-1.52281,"DF",1337.92992,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48285,"Roseate tern",55.3257,-1.52269,"DF",1348.53968,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48286,"Roseate tern",55.32563,-1.52257,"DF",1359.14975,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48287,"Roseate tern",55.32558,-1.52244,"DF",1369.36425,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48288,"Roseate tern",55.32552,-1.52231,"DF",1379.58126,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48289,"Roseate tern",55.32546,-1.52218,"DF",1389.80073,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48290,"Roseate tern",55.32541,-1.52205,"DF",1400.02259,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48291,"Roseate tern",55.32535,-1.52192,"DF",1410.24679,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48292,"Roseate tern",55.32532,-1.52177,"DF",1419.28475,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48293,"Roseate tern",55.32528,-1.52162,"DF",1428.33577,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48294,"Roseate tern",55.32525,-1.52148,"DF",1437.39961,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48295,"Roseate tern",55.32522,-1.52133,"DF",1446.47602,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48296,"Roseate tern",55.32518,-1.52118,"DF",1455.56477,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48297,"Roseate tern",55.32515,-1.52106,"DF",1464.05863,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48298,"Roseate tern",55.32511,-1.52093,"DF",1472.55865,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48299,"Roseate tern",55.32507,-1.5208,"DF",1481.06474,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48300,"Roseate tern",55.32504,-1.52068,"DF",1489.57678,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48301,"Roseate tern",55.325,-1.52055,"DF",1498.09468,"Travelling","Direct flight","Traveling"
"2010-06-21",10,48302,"Roseate tern",55.32493,-1.52046,"DF",1507.3968,"Travelling","Direct flight","Traveling"
