"COLONY","DATE","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST2COL","Complete"
"Glas Eileanan","2011-06-20",2,"C",39725,56.49208,-5.69407,"TS","Travelling",0.01055,1314.52511,1
"Glas Eileanan","2011-06-20",2,"C",39726,56.49205,-5.6939,"TS","Travelling",0.01055,1325.09767,1
"Glas Eileanan","2011-06-20",2,"C",39727,56.49203,-5.69373,"TS","Travelling",0.01055,1335.67055,1
"Glas Eileanan","2011-06-20",2,"C",39728,56.49201,-5.69357,"TS","Travelling",0.01055,1346.24372,1
"Glas Eileanan","2011-06-20",2,"C",39729,56.49198,-5.6934,"TS","Travelling",0.01075,1356.81718,1
"Glas Eileanan","2011-06-20",2,"C",39730,56.49196,-5.69323,"TS","Travelling",0.01075,1367.58677,1
"Glas Eileanan","2011-06-20",2,"C",39731,56.49194,-5.69306,"TS","Travelling",0.01075,1378.3567,1
"Glas Eileanan","2011-06-20",2,"C",39732,56.49191,-5.69289,"TS","Travelling",0.01075,1389.12694,1
"Glas Eileanan","2011-06-20",2,"C",39733,56.49189,-5.69272,"TS","Travelling",0.01075,1399.89751,1
"Glas Eileanan","2011-06-20",2,"C",39734,56.49187,-5.69255,"TS","Travelling",0.01065,1410.66838,1
"Glas Eileanan","2011-06-20",2,"C",39735,56.49184,-5.69238,"TS","Travelling",0.01065,1421.35444,1
"Glas Eileanan","2011-06-20",2,"C",39736,56.49181,-5.69222,"TS","Travelling",0.01065,1432.04054,1
"Glas Eileanan","2011-06-20",2,"C",39737,56.49179,-5.69205,"TS","Travelling",0.01065,1442.72668,1
"Glas Eileanan","2011-06-20",2,"C",39738,56.49176,-5.69188,"TS","Travelling",0.01065,1453.41286,1
"Glas Eileanan","2011-06-20",2,"C",39739,56.49173,-5.69172,"TS","Travelling",0.01085,1464.09908,1
"Glas Eileanan","2011-06-20",2,"C",39740,56.49171,-5.69155,"TS","Travelling",0.01085,1474.98137,1
"Glas Eileanan","2011-06-20",2,"C",39741,56.49168,-5.69138,"TS","Travelling",0.01085,1485.86372,1
"Glas Eileanan","2011-06-20",2,"C",39742,56.49165,-5.69121,"TS","Travelling",0.01085,1496.74614,1
"Glas Eileanan","2011-06-20",2,"C",39743,56.49163,-5.69104,"TS","Travelling",0.01085,1507.6286,1
"Glas Eileanan","2011-06-20",2,"C",39744,56.4916,-5.69087,"TS","Travelling",0.01075,1518.51113,1
"Glas Eileanan","2011-06-20",2,"C",39745,56.49158,-5.6907,"TS","Travelling",0.01075,1529.28347,1
"Glas Eileanan","2011-06-20",2,"C",39746,56.49155,-5.69053,"TS","Travelling",0.01075,1540.05607,1
"Glas Eileanan","2011-06-20",2,"C",39747,56.49153,-5.69036,"TS","Travelling",0.01075,1550.82892,1
"Glas Eileanan","2011-06-20",2,"C",39748,56.49151,-5.69019,"TS","Travelling",0.01075,1561.60203,1
"Glas Eileanan","2011-06-20",2,"C",39749,56.49148,-5.69002,"TS","Travelling",0.01075,1572.37538,1
"Glas Eileanan","2011-06-20",2,"C",39750,56.49146,-5.68985,"TS","Travelling",0.01075,1583.14897,1
"Glas Eileanan","2011-06-20",2,"C",39751,56.49144,-5.68968,"TS","Travelling",0.01075,1593.92281,1
"Glas Eileanan","2011-06-20",2,"C",39752,56.49141,-5.68951,"TS","Travelling",0.01075,1604.69686,1
"Glas Eileanan","2011-06-20",2,"C",39753,56.49139,-5.68934,"TS","Travelling",0.01075,1615.47115,1
