"ID","TSECS","SPECIES","LONGITUDE","LATITUDE","observed_behaviour","decState","Col_obState","Col_decState"
24,42932,"C",-5.45338,56.51812,"Travelling","Travelling","blue","blue"
24,42933,"C",-5.45352,56.51807,"Travelling","Travelling","blue","blue"
24,42934,"C",-5.45365,56.51802,"Travelling","Travelling","blue","blue"
24,42935,"C",-5.45378,56.51797,"Travelling","Travelling","blue","blue"
24,42936,"C",-5.4539,56.51791,"Travelling","Travelling","blue","blue"
24,42937,"C",-5.45402,56.51786,"Travelling","Travelling","blue","blue"
24,42938,"C",-5.45413,56.5178,"Travelling","Travelling","blue","blue"
24,42939,"C",-5.45424,56.51773,"Travelling","Travelling","blue","blue"
24,42940,"C",-5.45436,56.51767,"Travelling","Travelling","blue","blue"
24,42941,"C",-5.45447,56.5176,"Travelling","Travelling","blue","blue"
24,42942,"C",-5.45458,56.51754,"Travelling","Travelling","blue","blue"
24,42943,"C",-5.4547,56.51748,"Travelling","Travelling","blue","blue"
24,42944,"C",-5.45482,56.51742,"Travelling","Travelling","blue","blue"
24,42945,"C",-5.45494,56.51738,"Travelling","Travelling","blue","blue"
24,42946,"C",-5.45506,56.51734,"Travelling","Travelling","blue","blue"
24,42947,"C",-5.45518,56.5173,"Travelling","Foraging","blue","orange"
24,42948,"C",-5.45531,56.51728,"Travelling","Foraging","blue","orange"
24,42949,"C",-5.45544,56.51727,"Travelling","Foraging","blue","orange"
24,42950,"C",-5.45557,56.51725,"Travelling","Foraging","blue","orange"
24,42951,"C",-5.45569,56.51724,"Travelling","Foraging","blue","orange"
24,42952,"C",-5.45582,56.51724,"Travelling","Foraging","blue","orange"
24,42953,"C",-5.45595,56.51723,"Travelling","Foraging","blue","orange"
24,42954,"C",-5.45607,56.51723,"Travelling","Foraging","blue","orange"
24,42955,"C",-5.45619,56.51723,"Travelling","Foraging","blue","orange"
24,42956,"C",-5.45632,56.51723,"Travelling","Foraging","blue","orange"
24,42957,"C",-5.45644,56.51722,"Travelling","Foraging","blue","orange"
24,42958,"C",-5.45656,56.5172,"Travelling","Foraging","blue","orange"
24,42959,"C",-5.45668,56.51718,"Travelling","Foraging","blue","orange"
24,42960,"C",-5.45679,56.51716,"Travelling","Foraging","blue","orange"
24,42961,"C",-5.45691,56.51714,"Travelling","Foraging","blue","orange"
24,42962,"C",-5.45702,56.51712,"Travelling","Foraging","blue","orange"
24,42963,"C",-5.45712,56.51708,"Travelling","Travelling","blue","blue"
24,42964,"C",-5.45723,56.51704,"Travelling","Travelling","blue","blue"
24,42965,"C",-5.45733,56.517,"Travelling","Travelling","blue","blue"
24,42966,"C",-5.45743,56.51695,"Travelling","Travelling","blue","blue"
24,42967,"C",-5.45752,56.5169,"Travelling","Travelling","blue","blue"
24,42968,"C",-5.45762,56.51685,"Travelling","Travelling","blue","blue"
24,42969,"C",-5.45771,56.51679,"Travelling","Travelling","blue","blue"
24,42970,"C",-5.45781,56.51673,"Travelling","Travelling","blue","blue"
24,42971,"C",-5.4579,56.51667,"Travelling","Travelling","blue","blue"
24,42972,"C",-5.45799,56.51661,"Travelling","Travelling","blue","blue"
24,42973,"C",-5.45808,56.51656,"Travelling","Travelling","blue","blue"
24,42974,"C",-5.45817,56.5165,"Travelling","Travelling","blue","blue"
24,42975,"C",-5.45825,56.51643,"Travelling","Travelling","blue","blue"
24,42976,"C",-5.45833,56.51637,"Travelling","Travelling","blue","blue"
24,42977,"C",-5.45842,56.5163,"Travelling","Travelling","blue","blue"
24,42978,"C",-5.45851,56.51623,"Travelling","Travelling","blue","blue"
24,42979,"C",-5.45859,56.51617,"Travelling","Travelling","blue","blue"
24,42980,"C",-5.45868,56.5161,"Travelling","Travelling","blue","blue"
24,42981,"C",-5.45877,56.51604,"Travelling","Travelling","blue","blue"
24,42982,"C",-5.45886,56.51598,"Travelling","Travelling","blue","blue"
24,42983,"C",-5.45895,56.51592,"Travelling","Travelling","blue","blue"
24,42984,"C",-5.45905,56.51586,"Travelling","Travelling","blue","blue"
24,42985,"C",-5.45915,56.51581,"Travelling","Travelling","blue","blue"
24,42986,"C",-5.45925,56.51575,"Travelling","Travelling","blue","blue"
24,42987,"C",-5.45936,56.51569,"Travelling","Travelling","blue","blue"
24,42988,"C",-5.45946,56.51564,"Travelling","Travelling","blue","blue"
24,42989,"C",-5.45957,56.51558,"Travelling","Travelling","blue","blue"
24,42990,"C",-5.45968,56.51554,"Travelling","Travelling","blue","blue"
24,42991,"C",-5.4598,56.51549,"Travelling","Travelling","blue","blue"
24,42992,"C",-5.45992,56.51545,"Travelling","Travelling","blue","blue"
24,42993,"C",-5.46003,56.51541,"Travelling","Travelling","blue","blue"
24,42994,"C",-5.46015,56.51537,"Travelling","Travelling","blue","blue"
24,42995,"C",-5.46027,56.51533,"Travelling","Travelling","blue","blue"
24,42996,"C",-5.46039,56.51529,"Travelling","Travelling","blue","blue"
24,42997,"C",-5.46052,56.51524,"Travelling","Travelling","blue","blue"
24,42998,"C",-5.46065,56.5152,"Travelling","Travelling","blue","blue"
24,42999,"C",-5.46078,56.51517,"Travelling","Travelling","blue","blue"
24,43000,"C",-5.46091,56.51513,"Travelling","Travelling","blue","blue"
