"COLONY","DATE_","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST_COL_K","STAGE","COMPLETE"
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36700,54.83231,-5.77832,"DF","Travelling",0.01376,1.2922,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36701,54.83239,-5.77848,"DF","Travelling",0.01376,1.30572,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36702,54.83248,-5.77863,"DF","Travelling",0.01376,1.31924,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36703,54.83257,-5.77878,"DF","Travelling",0.012,1.33277,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36704,54.83266,-5.77889,"DF","Travelling",0.012,1.34479,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36705,54.83275,-5.77899,"DF","Travelling",0.012,1.35682,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36706,54.83284,-5.77909,"DF","Travelling",0.012,1.36884,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36707,54.83293,-5.7792,"DF","Travelling",0.012,1.38086,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36708,54.83302,-5.7793,"DF","Travelling",0.01161,1.39288,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36709,54.83312,-5.77933,"DF","Travelling",0.01161,1.40334,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36710,54.83322,-5.77935,"DF","Travelling",0.01161,1.41383,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36711,54.83333,-5.77938,"DF","Travelling",0.01161,1.42433,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36712,54.83343,-5.77941,"DF","Travelling",0.01161,1.43486,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36713,54.83353,-5.77943,"DF","Travelling",0.0122,1.44539,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36714,54.83363,-5.77934,"DF","Travelling",0.0122,1.45123,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36715,54.83373,-5.77925,"DF","Travelling",0.0122,1.45714,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36716,54.83382,-5.77916,"DF","Travelling",0.0122,1.46314,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36717,54.83392,-5.77907,"DF","Travelling",0.0122,1.46921,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36718,54.83402,-5.77898,"DF","Travelling",0.01316,1.47535,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36719,54.83412,-5.77887,"DF","Travelling",0.01316,1.48123,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36720,54.83422,-5.77876,"DF","Travelling",0.01316,1.4872,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36721,54.83432,-5.77865,"DF","Travelling",0.01316,1.49327,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36722,54.83442,-5.77854,"DF","Travelling",0.01316,1.49943,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36723,54.83452,-5.77843,"DF","Travelling",0.01275,1.50568,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36724,54.83463,-5.77846,"DF","Travelling",0.01275,1.51765,"Incubation",0
"Blue Circle Is, Larne Lough","2010-06-02",1,"Roseate",36725,54.83474,-5.77849,"DF","Travelling",0.01275,1.52963,"Incubation",0
