"DATE","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST2COL_km"
"2010-06-01",1,"Arctic tern",55553,56.1845,-2.53537,"TS","Travelling",0.01117,1.18757
"2010-06-01",1,"Arctic tern",55554,56.18445,-2.53521,"TS","Travelling",0.01117,1.1982
"2010-06-01",1,"Arctic tern",55555,56.1844,-2.53506,"TS","Travelling",0.01117,1.20884
"2010-06-01",1,"Arctic tern",55556,56.18435,-2.5349,"TS","Travelling",0.01304,1.21949
"2010-06-01",1,"Arctic tern",55557,56.1843,-2.53471,"TS","Travelling",0.01304,1.2323
"2010-06-01",1,"Arctic tern",55558,56.18426,-2.53451,"TS","Travelling",0.01304,1.24512
"2010-06-01",1,"Arctic tern",55559,56.18421,-2.53432,"TS","Travelling",0.01304,1.25794
"2010-06-01",1,"Arctic tern",55560,56.18416,-2.53413,"TS","Travelling",0.01304,1.27076
"2010-06-01",1,"Arctic tern",55561,56.18412,-2.53393,"TS","Travelling",0.01303,1.28359
"2010-06-01",1,"Arctic tern",55562,56.18408,-2.53373,"TS","Travelling",0.01303,1.29659
"2010-06-01",1,"Arctic tern",55563,56.18404,-2.53353,"TS","Travelling",0.01303,1.30959
"2010-06-01",1,"Arctic tern",55564,56.18401,-2.53333,"TS","Travelling",0.01303,1.3226
"2010-06-01",1,"Arctic tern",55565,56.18397,-2.53313,"TS","Travelling",0.01303,1.3356
"2010-06-01",1,"Arctic tern",55566,56.18393,-2.53293,"TS","Travelling",0.01249,1.34861
"2010-06-01",1,"Arctic tern",55567,56.18387,-2.53277,"TS","Travelling",0.01249,1.36025
"2010-06-01",1,"Arctic tern",55568,56.18381,-2.5326,"TS","Travelling",0.01249,1.37191
"2010-06-01",1,"Arctic tern",55569,56.18374,-2.53243,"TS","Travelling",0.01249,1.38359
"2010-06-01",1,"Arctic tern",55570,56.18368,-2.53227,"TS","Travelling",0.01249,1.39528
"2010-06-01",1,"Arctic tern",55571,56.18362,-2.5321,"TS","Travelling",0.0137,1.40698
"2010-06-01",1,"Arctic tern",55572,56.18354,-2.53193,"TS","Travelling",0.0137,1.41945
"2010-06-01",1,"Arctic tern",55573,56.18346,-2.53175,"TS","Travelling",0.0137,1.43195
"2010-06-01",1,"Arctic tern",55574,56.18339,-2.53158,"TS","Travelling",0.0137,1.44447
"2010-06-01",1,"Arctic tern",55575,56.18331,-2.53141,"TS","Travelling",0.0137,1.45701
"2010-06-01",1,"Arctic tern",55576,56.18323,-2.53123,"TS","Travelling",0.01409,1.46957
"2010-06-01",1,"Arctic tern",55577,56.18315,-2.53106,"TS","Travelling",0.01409,1.48245
"2010-06-01",1,"Arctic tern",55578,56.18307,-2.53088,"TS","Travelling",0.01409,1.49535
"2010-06-01",1,"Arctic tern",55579,56.18299,-2.5307,"TS","Travelling",0.01409,1.50828
"2010-06-01",1,"Arctic tern",55580,56.18291,-2.53053,"TS","Travelling",0.01409,1.52122
"2010-06-01",1,"Arctic tern",55581,56.18283,-2.53035,"TS","Travelling",0.01414,1.53419
"2010-06-01",1,"Arctic tern",55582,56.18276,-2.53016,"TS","Travelling",0.01414,1.54757
"2010-06-01",1,"Arctic tern",55583,56.18269,-2.52998,"TS","Travelling",0.01414,1.56096
"2010-06-01",1,"Arctic tern",55584,56.18261,-2.52979,"TS","Travelling",0.01414,1.57436
"2010-06-01",1,"Arctic tern",55585,56.18254,-2.5296,"TS","Travelling",0.01414,1.58778
"2010-06-01",1,"Arctic tern",55586,56.18247,-2.52942,"TS","Travelling",0.01407,1.60122
"2010-06-01",1,"Arctic tern",55587,56.18241,-2.52921,"TS","Travelling",0.01407,1.61512
"2010-06-01",1,"Arctic tern",55588,56.18235,-2.52901,"TS","Travelling",0.01407,1.62902
"2010-06-01",1,"Arctic tern",55589,56.1823,-2.52881,"TS","Travelling",0.01407,1.64293
"2010-06-01",1,"Arctic tern",55590,56.18224,-2.5286,"TS","Travelling",0.01407,1.65684
"2010-06-01",1,"Arctic tern",55591,56.18218,-2.5284,"TS","Travelling",0.01298,1.67075
"2010-06-01",1,"Arctic tern",55592,56.18213,-2.52821,"TS","Travelling",0.01298,1.68357
"2010-06-01",1,"Arctic tern",55593,56.18208,-2.52803,"TS","Travelling",0.01298,1.69639
"2010-06-01",1,"Arctic tern",55594,56.18202,-2.52784,"TS","Travelling",0.01298,1.70922
"2010-06-01",1,"Arctic tern",55595,56.18197,-2.52765,"TS","Travelling",0.01298,1.72205
"2010-06-01",1,"Arctic tern",55596,56.18192,-2.52747,"TS","Travelling",0.01259,1.73488
"2010-06-01",1,"Arctic tern",55597,56.18185,-2.52731,"TS","Travelling",0.01259,1.74669
"2010-06-01",1,"Arctic tern",55598,56.18178,-2.52715,"TS","Travelling",0.01259,1.75852
"2010-06-01",1,"Arctic tern",55599,56.18171,-2.52699,"TS","Travelling",0.01259,1.77036
"2010-06-01",1,"Arctic tern",55600,56.18164,-2.52683,"TS","Travelling",0.01259,1.78221
"2010-06-01",1,"Arctic tern",55601,56.18157,-2.52667,"TS","Travelling",0.0112,1.79406
"2010-06-01",1,"Arctic tern",55602,56.18149,-2.52656,"TS","Travelling",0.0112,1.80334
"2010-06-01",1,"Arctic tern",55603,56.18141,-2.52645,"TS","Travelling",0.0112,1.81263
"2010-06-01",1,"Arctic tern",55604,56.18133,-2.52634,"TS","Travelling",0.0112,1.82195
"2010-06-01",1,"Arctic tern",55605,56.18125,-2.52623,"TS","Travelling",0.0112,1.83129
"2010-06-01",1,"Arctic tern",55606,56.18117,-2.52612,"TS","Travelling",0.01103,1.84065
"2010-06-01",1,"Arctic tern",55607,56.18108,-2.52603,"TS","Travelling",0.01103,1.8489
"2010-06-01",1,"Arctic tern",55608,56.18099,-2.52594,"TS","Travelling",0.01103,1.85719
"2010-06-01",1,"Arctic tern",55609,56.18091,-2.52586,"TS","Travelling",0.01103,1.86551
"2010-06-01",1,"Arctic tern",55610,56.18082,-2.52577,"TS","Travelling",0.01103,1.87385
"2010-06-01",1,"Arctic tern",55611,56.18073,-2.52568,"TS","Travelling",0.01075,1.88223
"2010-06-01",1,"Arctic tern",55612,56.18064,-2.52568,"TS","Travelling",0.01075,1.88598
"2010-06-01",1,"Arctic tern",55613,56.18054,-2.52568,"TS","Travelling",0.01075,1.88978
"2010-06-01",1,"Arctic tern",55614,56.18044,-2.52568,"TS","Travelling",0.01075,1.89364
"2010-06-01",1,"Arctic tern",55615,56.18035,-2.52568,"TS","Travelling",0.01075,1.89756
"2010-06-01",1,"Arctic tern",55616,56.18025,-2.52568,"TS","Travelling",0.01043,1.90152
"2010-06-01",1,"Arctic tern",55617,56.18016,-2.52567,"TS","Travelling",0.01043,1.90636
"2010-06-01",1,"Arctic tern",55618,56.18006,-2.52565,"TS","Travelling",0.01043,1.91124
"2010-06-01",1,"Arctic tern",55619,56.17997,-2.52563,"TS","Travelling",0.01043,1.91617
"2010-06-01",1,"Arctic tern",55620,56.17988,-2.52562,"TS","Travelling",0.01043,1.92114
"2010-06-01",1,"Arctic tern",55621,56.17978,-2.5256,"TS","Travelling",0.00728,1.92615
"2010-06-01",1,"Arctic tern",55622,56.17972,-2.52557,"TS","Travelling",0.00728,1.93064
"2010-06-01",1,"Arctic tern",55623,56.17966,-2.52554,"TS","Travelling",0.00728,1.93515
"2010-06-01",1,"Arctic tern",55624,56.17959,-2.52551,"TS","Travelling",0.00728,1.93968
"2010-06-01",1,"Arctic tern",55625,56.17953,-2.52548,"TS","Travelling",0.00728,1.94422
"2010-06-01",1,"Arctic tern",55626,56.17947,-2.52545,"TS","Travelling",0.00775,1.94878
"2010-06-01",1,"Arctic tern",55627,56.1794,-2.52541,"TS","Travelling",0.00775,1.95389
"2010-06-01",1,"Arctic tern",55628,56.17933,-2.52538,"TS","Travelling",0.00775,1.95901
"2010-06-01",1,"Arctic tern",55629,56.17927,-2.52534,"TS","Travelling",0.00775,1.96415
"2010-06-01",1,"Arctic tern",55630,56.1792,-2.5253,"TS","Travelling",0.00775,1.96931
"2010-06-01",1,"Arctic tern",55631,56.17913,-2.52527,"TS","Travelling",0.01043,1.97448
"2010-06-01",1,"Arctic tern",55632,56.17904,-2.52528,"TS","Travelling",0.01043,1.97794
"2010-06-01",1,"Arctic tern",55633,56.17895,-2.5253,"TS","Travelling",0.01043,1.98144
"2010-06-01",1,"Arctic tern",55634,56.17885,-2.52532,"TS","Travelling",0.01043,1.98498
"2010-06-01",1,"Arctic tern",55635,56.17876,-2.52533,"TS","Travelling",0.01043,1.98858
"2010-06-01",1,"Arctic tern",55636,56.17867,-2.52535,"TS","Travelling",0.01072,1.99223
"2010-06-01",1,"Arctic tern",55637,56.17857,-2.52539,"TS","Travelling",0.01072,1.99444
"2010-06-01",1,"Arctic tern",55638,56.17848,-2.52544,"TS","Travelling",0.01072,1.99671
"2010-06-01",1,"Arctic tern",55639,56.17839,-2.52548,"TS","Travelling",0.01072,1.99903
"2010-06-01",1,"Arctic tern",55640,56.17829,-2.52552,"TS","Travelling",0.01072,2.00141
"2010-06-01",1,"Arctic tern",55641,56.1782,-2.52557,"TS","Travelling",0.01091,2.00384
"2010-06-01",1,"Arctic tern",55642,56.1781,-2.5256,"TS","Travelling",0.01091,2.00723
"2010-06-01",1,"Arctic tern",55643,56.17801,-2.52563,"TS","Travelling",0.01091,2.01068
"2010-06-01",1,"Arctic tern",55644,56.17791,-2.52566,"TS","Travelling",0.01091,2.01418
"2010-06-01",1,"Arctic tern",55645,56.17781,-2.52569,"TS","Travelling",0.01091,2.01773
"2010-06-01",1,"Arctic tern",55646,56.17772,-2.52572,"TS","Travelling",0.01121,2.02133
"2010-06-01",1,"Arctic tern",55647,56.17762,-2.52569,"TS","Travelling",0.01121,2.02805
"2010-06-01",1,"Arctic tern",55648,56.17752,-2.52567,"TS","Travelling",0.01121,2.03481
"2010-06-01",1,"Arctic tern",55649,56.17742,-2.52565,"TS","Travelling",0.01121,2.04161
"2010-06-01",1,"Arctic tern",55650,56.17732,-2.52562,"TS","Travelling",0.01121,2.04845
"2010-06-01",1,"Arctic tern",55651,56.17722,-2.5256,"TS","Travelling",0.01053,2.05533
"2010-06-01",1,"Arctic tern",55652,56.17714,-2.5255,"TS","Travelling",0.01053,2.06501
"2010-06-01",1,"Arctic tern",55653,56.17706,-2.5254,"TS","Travelling",0.01053,2.0747
"2010-06-01",1,"Arctic tern",55654,56.17699,-2.5253,"TS","Travelling",0.01053,2.0844
"2010-06-01",1,"Arctic tern",55655,56.17691,-2.5252,"TS","Travelling",0.01053,2.09411
"2010-06-01",1,"Arctic tern",55656,56.17683,-2.5251,"TS","Travelling",0.00982,2.10383
"2010-06-01",1,"Arctic tern",55657,56.17676,-2.525,"TS","Travelling",0.00982,2.11299
"2010-06-01",1,"Arctic tern",55658,56.17669,-2.52491,"TS","Travelling",0.00982,2.12216
"2010-06-01",1,"Arctic tern",55659,56.17662,-2.52481,"TS","Travelling",0.00982,2.13134
"2010-06-01",1,"Arctic tern",55660,56.17655,-2.52471,"TS","Travelling",0.00982,2.14052
"2010-06-01",1,"Arctic tern",55661,56.17648,-2.52462,"TS","Travelling",0.01084,2.1497
"2010-06-01",1,"Arctic tern",55662,56.17639,-2.52464,"TS","Travelling",0.01084,2.15412
"2010-06-01",1,"Arctic tern",55663,56.17629,-2.52466,"TS","Travelling",0.01084,2.15858
"2010-06-01",1,"Arctic tern",55664,56.17619,-2.52469,"TS","Travelling",0.01084,2.16309
"2010-06-01",1,"Arctic tern",55665,56.1761,-2.52471,"TS","Travelling",0.01084,2.16765
"2010-06-01",1,"Arctic tern",55666,56.176,-2.52473,"TS","Travelling",0.00795,2.17224
"2010-06-01",1,"Arctic tern",55667,56.17594,-2.5248,"TS","Travelling",0.00795,2.17223
"2010-06-01",1,"Arctic tern",55668,56.17588,-2.52487,"TS","Travelling",0.00795,2.17225
"2010-06-01",1,"Arctic tern",55669,56.17582,-2.52494,"TS","Travelling",0.00795,2.17229
"2010-06-01",1,"Arctic tern",55670,56.17576,-2.52501,"TS","Travelling",0.00795,2.17237
"2010-06-01",1,"Arctic tern",55671,56.1757,-2.52508,"TS","Travelling",0.00348,2.17247
"2010-06-01",1,"Arctic tern",55672,56.17568,-2.52513,"TS","Travelling",0.00348,2.17148
"2010-06-01",1,"Arctic tern",55673,56.17566,-2.52517,"TS","Travelling",0.00348,2.1705
"2010-06-01",1,"Arctic tern",55674,56.17564,-2.52521,"TS","Travelling",0.00348,2.16952
"2010-06-01",1,"Arctic tern",55675,56.17562,-2.52526,"TS","Travelling",0.00348,2.16855
"2010-06-01",1,"Arctic tern",55676,56.1756,-2.5253,"TS","Travelling",0.00404,2.16758
"2010-06-01",1,"Arctic tern",55677,56.17558,-2.52535,"TS","Travelling",0.00404,2.16649
"2010-06-01",1,"Arctic tern",55678,56.17555,-2.5254,"TS","Travelling",0.00404,2.1654
"2010-06-01",1,"Arctic tern",55679,56.17553,-2.52545,"TS","Travelling",0.00404,2.16432
"2010-06-01",1,"Arctic tern",55680,56.17551,-2.5255,"TS","Travelling",0.00404,2.16325
"2010-06-01",1,"Arctic tern",55681,56.17548,-2.52555,"TS","Travelling",0.0069,2.16218
"2010-06-01",1,"Arctic tern",55682,56.17545,-2.52564,"TS","Travelling",0.0069,2.15994
"2010-06-01",1,"Arctic tern",55683,56.17541,-2.52573,"TS","Travelling",0.0069,2.15772
"2010-06-01",1,"Arctic tern",55684,56.17537,-2.52582,"TS","Travelling",0.0069,2.15551
"2010-06-01",1,"Arctic tern",55685,56.17534,-2.52591,"TS","Travelling",0.0069,2.15333
"2010-06-01",1,"Arctic tern",55686,56.1753,-2.526,"TS","Travelling",0.01,2.15117
"2010-06-01",1,"Arctic tern",55687,56.17527,-2.52615,"TS","Travelling",0.01,2.14579
"2010-06-01",1,"Arctic tern",55688,56.17523,-2.5263,"TS","Travelling",0.01,2.14045
"2010-06-01",1,"Arctic tern",55689,56.1752,-2.52645,"TS","Travelling",0.01,2.13514
"2010-06-01",1,"Arctic tern",55690,56.17517,-2.5266,"TS","Travelling",0.01,2.12987
"2010-06-01",1,"Arctic tern",55691,56.17513,-2.52675,"TS","Travelling",0.00976,2.12463
"2010-06-01",1,"Arctic tern",55692,56.17512,-2.52691,"TS","Travelling",0.00976,2.11753
"2010-06-01",1,"Arctic tern",55693,56.17511,-2.52706,"TS","Travelling",0.00976,2.11045
"2010-06-01",1,"Arctic tern",55694,56.1751,-2.52722,"TS","Travelling",0.00976,2.10339
"2010-06-01",1,"Arctic tern",55695,56.17509,-2.52738,"TS","Travelling",0.00976,2.09635
"2010-06-01",1,"Arctic tern",55696,56.17508,-2.52753,"TS","Travelling",0.00935,2.08934
"2010-06-01",1,"Arctic tern",55697,56.1751,-2.52768,"TS","Travelling",0.00935,2.08078
"2010-06-01",1,"Arctic tern",55698,56.17512,-2.52783,"TS","Travelling",0.00935,2.07223
"2010-06-01",1,"Arctic tern",55699,56.17514,-2.52797,"TS","Travelling",0.00935,2.06369
"2010-06-01",1,"Arctic tern",55700,56.17516,-2.52812,"TS","Travelling",0.00935,2.05516
"2010-06-01",1,"Arctic tern",55701,56.17518,-2.52827,"TS","Travelling",0.00713,2.04663
"2010-06-01",1,"Arctic tern",55702,56.17522,-2.52836,"TS","Travelling",0.00713,2.03949
"2010-06-01",1,"Arctic tern",55703,56.17526,-2.52845,"TS","Travelling",0.00713,2.03234
"2010-06-01",1,"Arctic tern",55704,56.1753,-2.52854,"TS","Travelling",0.00713,2.0252
"2010-06-01",1,"Arctic tern",55705,56.17534,-2.52863,"TS","Travelling",0.00713,2.01806
"2010-06-01",1,"Arctic tern",55706,56.17538,-2.52872,"TS","Travelling",0.00814,2.01091
"2010-06-01",1,"Arctic tern",55707,56.17541,-2.52884,"TS","Travelling",0.00814,2.003
"2010-06-01",1,"Arctic tern",55708,56.17544,-2.52896,"TS","Travelling",0.00814,1.99509
"2010-06-01",1,"Arctic tern",55709,56.17547,-2.52908,"TS","Travelling",0.00814,1.98718
"2010-06-01",1,"Arctic tern",55710,56.1755,-2.5292,"TS","Travelling",0.00814,1.97927
