"DATE","ID","TSECS_GMT","LATITUDE","LONGITUDE","SPECIES","Continuous","DIST2COL","Observed_2State","Observed_3State","Observed_StateTw"
"2009-06-09",6,46163,53.42001,-4.50704,"A","DF",1130.21121,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46164,53.42008,-4.50703,"A","DF",1138.25422,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46165,53.42015,-4.50702,"A","DF",1146.29762,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46166,53.42022,-4.50704,"A","DF",1153.35308,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46167,53.42028,-4.50706,"A","DF",1160.41493,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46168,53.42035,-4.50708,"A","DF",1167.48308,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46169,53.42042,-4.5071,"A","DF",1174.61783,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46170,53.42048,-4.50712,"A","DF",1181.7571,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46171,53.42055,-4.50713,"A","DF",1188.90083,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46172,53.42062,-4.50712,"A","DF",1197.01132,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46173,53.42069,-4.5071,"A","DF",1205.12184,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46174,53.42077,-4.50708,"A","DF",1213.23238,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46175,53.42084,-4.50704,"A","DF",1221.57911,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46176,53.42091,-4.50701,"A","DF",1229.92714,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46177,53.42098,-4.50697,"A","DF",1238.27644,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46178,53.42104,-4.50693,"A","DF",1245.40722,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46179,53.42111,-4.50689,"A","DF",1252.53968,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46180,53.42117,-4.50685,"A","DF",1259.67375,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46181,53.42122,-4.50682,"A","DF",1266.07672,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46182,53.42128,-4.50679,"A","DF",1272.4802,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46183,53.42133,-4.50677,"A","DF",1278.88416,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46184,53.42139,-4.50676,"A","DF",1285.71208,"Travelling","Direct flight","Traveling"
"2009-06-09",6,46185,53.42146,-4.50674,"A","AS",1292.54014,"Foraging","Foraging","Foraging"
"2009-06-09",6,46186,53.42152,-4.50673,"A","AS",1299.36833,"Foraging","Foraging","Foraging"
"2009-06-09",6,46187,53.42158,-4.50674,"A","AS",1306.01267,"Foraging","Foraging","Foraging"
"2009-06-09",6,46188,53.42164,-4.50674,"A","AS",1312.65873,"Foraging","Foraging","Foraging"
"2009-06-09",6,46189,53.4217,-4.50675,"A","AS",1319.30646,"Foraging","Foraging","Foraging"
"2009-06-09",6,46190,53.42176,-4.50673,"A","AS",1325.58649,"Foraging","Foraging","Foraging"
"2009-06-09",6,46191,53.42181,-4.50672,"A","AS",1331.86654,"Foraging","Foraging","Foraging"
"2009-06-09",6,46192,53.42187,-4.5067,"A","AS",1338.14659,"Foraging","Foraging","Foraging"
"2009-06-09",6,46193,53.42193,-4.50666,"A","AS",1345.33979,"Foraging","Foraging","Foraging"
"2009-06-09",6,46194,53.42199,-4.50661,"A","AS",1352.53537,"Foraging","Foraging","Foraging"
"2009-06-09",6,46195,53.42205,-4.50657,"A","AS",1359.7333,"Foraging","Foraging","Foraging"
"2009-06-09",6,46196,53.4221,-4.50651,"A","AS",1365.90249,"Foraging","Foraging","Foraging"
"2009-06-09",6,46197,53.42215,-4.50644,"A","AS",1372.07853,"Foraging","Foraging","Foraging"
"2009-06-09",6,46198,53.4222,-4.50638,"A","AS",1378.26132,"Foraging","Foraging","Foraging"
"2009-06-09",6,46199,53.42226,-4.50632,"A","AS",1385.05933,"Foraging","Foraging","Foraging"
"2009-06-09",6,46200,53.42231,-4.50626,"A","AS",1391.86344,"Foraging","Foraging","Foraging"
"2009-06-09",6,46201,53.42237,-4.5062,"A","AS",1398.67358,"Foraging","Foraging","Foraging"
"2009-06-09",6,46202,53.42243,-4.50616,"A","AS",1405.8291,"Foraging","Foraging","Foraging"
"2009-06-09",6,46203,53.42249,-4.50612,"A","AS",1412.98584,"Foraging","Foraging","Foraging"
"2009-06-09",6,46204,53.42255,-4.50608,"A","AS",1420.14378,"Foraging","Foraging","Foraging"
"2009-06-09",6,46205,53.42262,-4.50606,"A","AS",1427.70734,"Foraging","Foraging","Foraging"
"2009-06-09",6,46206,53.42268,-4.50604,"A","AS",1435.27091,"Foraging","Foraging","Foraging"
"2009-06-09",6,46207,53.42275,-4.50602,"A","AS",1442.83447,"Foraging","Foraging","Foraging"
"2009-06-09",6,46208,53.42281,-4.50601,"A","AS",1449.65508,"Foraging","Foraging","Foraging"
"2009-06-09",6,46209,53.42287,-4.50599,"A","AS",1456.47587,"Foraging","Foraging","Foraging"
"2009-06-09",6,46210,53.42293,-4.50598,"A","AS",1463.29684,"Foraging","Foraging","Foraging"
"2009-06-09",6,46211,53.42299,-4.50597,"A","AS",1470.18518,"Foraging","Foraging","Foraging"
"2009-06-09",6,46212,53.42306,-4.50595,"A","AS",1477.07354,"Foraging","Foraging","Foraging"
"2009-06-09",6,46213,53.42312,-4.50593,"A","AS",1483.96191,"Foraging","Foraging","Foraging"
"2009-06-09",6,46214,53.42318,-4.50592,"A","AS",1490.85029,"Foraging","Foraging","Foraging"
