"COLONY","DATE","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST2COL","Complete"
"SOUTH SHIAN","2011-06-24",24,"C",43009,56.51482,-5.46206,"TS","Travelling",0.00865,4210.54225,0
"SOUTH SHIAN","2011-06-24",24,"C",43010,56.51478,-5.46218,"TS","Travelling",0.0088,4219.02907,0
"SOUTH SHIAN","2011-06-24",24,"C",43011,56.51473,-5.46229,"TS","Travelling",0.0088,4227.24371,0
"SOUTH SHIAN","2011-06-24",24,"C",43012,56.51468,-5.46241,"TS","Travelling",0.0088,4235.46079,0
"SOUTH SHIAN","2011-06-24",24,"C",43013,56.51463,-5.46252,"TS","Travelling",0.00893,4243.68031,0
"SOUTH SHIAN","2011-06-24",24,"C",43014,56.51457,-5.46261,"TS","Travelling",0.00893,4251.30751,0
"SOUTH SHIAN","2011-06-24",24,"C",43015,56.51451,-5.46271,"TS","Travelling",0.00893,4258.93987,0
"SOUTH SHIAN","2011-06-24",24,"C",43016,56.51445,-5.4628,"TS","Travelling",0.009,4266.57738,0
"SOUTH SHIAN","2011-06-24",24,"C",43017,56.51438,-5.46288,"TS","Travelling",0.009,4273.76278,0
"SOUTH SHIAN","2011-06-24",24,"C",43018,56.51432,-5.46297,"TS","Travelling",0.009,4280.95516,0
"SOUTH SHIAN","2011-06-24",24,"C",43019,56.51425,-5.46305,"TS","Travelling",0.00988,4288.15448,0
"SOUTH SHIAN","2011-06-24",24,"C",43020,56.51417,-5.46313,"TS","Travelling",0.00988,4295.42648,0
"SOUTH SHIAN","2011-06-24",24,"C",43021,56.51409,-5.46321,"TS","Travelling",0.00988,4302.70896,0
"SOUTH SHIAN","2011-06-24",24,"C",43022,56.51402,-5.46328,"TS","Travelling",0.00971,4310.00189,0
"SOUTH SHIAN","2011-06-24",24,"C",43023,56.51394,-5.46337,"TS","Travelling",0.00971,4317.75536,0
"SOUTH SHIAN","2011-06-24",24,"C",43024,56.51387,-5.46346,"TS","Travelling",0.00971,4325.51684,0
"SOUTH SHIAN","2011-06-24",24,"C",43025,56.5138,-5.46355,"TS","Travelling",0.01022,4333.28628,0
