"DATE","ID","TSECS_GMT","LATITUDE","LONGITUDE","SPECIES","Continuous","DIST2COL","Observed_2State","Observed_3State","Observed_StateTw"
"2009-06-09",2,33861,53.41792,-4.50571,"C","AS",925.43676,"Foraging","Foraging","Foraging"
"2009-06-09",2,33862,53.418,-4.50568,"C","AS",934.82896,"Foraging","Foraging","Foraging"
"2009-06-09",2,33863,53.41809,-4.50566,"C","AS",944.69845,"Foraging","Foraging","Foraging"
"2009-06-09",2,33864,53.41818,-4.50564,"C","AS",954.57067,"Foraging","Foraging","Foraging"
"2009-06-09",2,33865,53.41827,-4.50562,"C","AS",964.44556,"Foraging","Foraging","Foraging"
"2009-06-09",2,33866,53.41836,-4.50559,"C","AS",974.43391,"Foraging","Foraging","Foraging"
"2009-06-09",2,33867,53.41844,-4.50556,"C","AS",984.42378,"Foraging","Foraging","Foraging"
"2009-06-09",2,33868,53.41853,-4.50553,"C","AS",994.41509,"Foraging","Foraging","Foraging"
"2009-06-09",2,33869,53.41862,-4.50552,"C","AS",1004.1887,"Foraging","Foraging","Foraging"
"2009-06-09",2,33870,53.41871,-4.5055,"C","AS",1013.96578,"Foraging","Foraging","Foraging"
"2009-06-09",2,33871,53.4188,-4.50548,"C","AS",1023.74627,"Foraging","Foraging","Foraging"
"2009-06-09",2,33872,53.41889,-4.50547,"C","AS",1033.42258,"Foraging","Foraging","Foraging"
"2009-06-09",2,33873,53.41898,-4.50546,"C","AS",1043.10346,"Foraging","Foraging","Foraging"
"2009-06-09",2,33874,53.41907,-4.50545,"C","AS",1052.78875,"Foraging","Foraging","Foraging"
"2009-06-09",2,33875,53.41915,-4.50543,"C","AS",1062.09664,"Foraging","Foraging","Foraging"
"2009-06-09",2,33876,53.41923,-4.50541,"C","AS",1071.40595,"Foraging","Foraging","Foraging"
"2009-06-09",2,33877,53.41932,-4.50538,"C","AS",1080.71665,"Foraging","Foraging","Foraging"
"2009-06-09",2,33878,53.41941,-4.50537,"C","AS",1090.51754,"Foraging","Foraging","Foraging"
"2009-06-09",2,33879,53.41949,-4.50535,"C","AS",1100.32117,"Foraging","Foraging","Foraging"
"2009-06-09",2,33880,53.41958,-4.50533,"C","AS",1110.12746,"Foraging","Foraging","Foraging"
