"COLONY","DATE_","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST_COL_K","STAGE","COMPLETE"
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50123,54.83282,-5.77198,"TS","Travelling",0.01284,1.17095,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50124,54.83293,-5.77205,"TS","Travelling",0.01284,1.18372,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50125,54.83304,-5.77213,"TS","Travelling",0.01284,1.19649,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50126,54.83314,-5.77221,"TS","Travelling",0.01284,1.20926,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50127,54.83325,-5.77228,"TS","Travelling",0.01377,1.22204,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50128,54.83336,-5.77237,"TS","Travelling",0.01377,1.2357,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50129,54.83348,-5.77246,"TS","Travelling",0.01377,1.24937,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50130,54.83359,-5.77254,"TS","Travelling",0.01377,1.26304,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50131,54.8337,-5.77263,"TS","Travelling",0.01377,1.27672,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50132,54.83382,-5.77272,"TS","Travelling",0.01167,1.2904,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50133,54.83391,-5.7728,"TS","Travelling",0.01167,1.30188,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50134,54.834,-5.77288,"TS","Travelling",0.01167,1.31337,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50135,54.8341,-5.77297,"TS","Travelling",0.01167,1.32486,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50136,54.83419,-5.77305,"TS","Travelling",0.01167,1.33635,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50137,54.83428,-5.77313,"TS","Travelling",0.00835,1.34785,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50138,54.83435,-5.77319,"TS","Travelling",0.00835,1.35608,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50139,54.83442,-5.77325,"TS","Travelling",0.00835,1.3643,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50140,54.83448,-5.77331,"TS","Travelling",0.00835,1.37253,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50141,54.83455,-5.77337,"TS","Travelling",0.00835,1.38076,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50142,54.83462,-5.77343,"TS","Travelling",0.00707,1.38899,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50143,54.83467,-5.77348,"TS","Travelling",0.00707,1.39597,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50144,54.83473,-5.77353,"TS","Travelling",0.00707,1.40295,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50145,54.83479,-5.77358,"TS","Travelling",0.00707,1.40993,"Chick",1
"Blue Circle Is, Larne Lough","2010-06-02",3,"Sandwich",50146,54.83484,-5.77363,"TS","Travelling",0.00707,1.41691,"Chick",1
