"COLONY","DATE_","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST_COL_K","STAGE","COMPLETE"
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33105,54.68495,-5.61045,"DF","Travelling",0.00973,0.8016,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33106,54.68498,-5.61031,"DF","Travelling",0.00973,0.8094,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33107,54.68502,-5.61017,"DF","Travelling",0.00973,0.81725,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33108,54.68505,-5.61003,"DF","Travelling",0.00965,0.82514,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33109,54.68509,-5.6099,"DF","Travelling",0.00965,0.83346,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33110,54.68513,-5.60977,"DF","Travelling",0.00965,0.84182,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33111,54.68517,-5.60963,"DF","Travelling",0.00965,0.8502,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33112,54.68521,-5.6095,"DF","Travelling",0.00965,0.85861,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33113,54.68525,-5.60937,"DF","Travelling",0.00953,0.86705,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33114,54.68528,-5.60923,"DF","Travelling",0.00953,0.87502,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33115,54.68532,-5.60909,"DF","Travelling",0.00953,0.88302,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33116,54.68535,-5.60896,"DF","Travelling",0.00953,0.89104,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33117,54.68538,-5.60882,"DF","Travelling",0.00953,0.8991,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33118,54.68542,-5.60868,"DF","Travelling",0.01007,0.90719,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33119,54.68545,-5.60854,"DF","Travelling",0.01007,0.91586,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33120,54.68549,-5.6084,"DF","Travelling",0.01007,0.92456,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33121,54.68553,-5.60825,"DF","Travelling",0.01007,0.93328,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33122,54.68556,-5.60811,"DF","Travelling",0.01007,0.94203,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33123,54.6856,-5.60797,"DF","Travelling",0.01114,0.95081,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33124,54.68565,-5.60781,"DF","Travelling",0.01114,0.9609,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33125,54.68569,-5.60766,"DF","Travelling",0.01114,0.97101,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33126,54.68574,-5.60751,"DF","Travelling",0.01114,0.98114,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33127,54.68579,-5.60735,"DF","Travelling",0.01114,0.99129,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33128,54.68583,-5.6072,"DF","Travelling",0.01113,1.00146,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33129,54.68588,-5.60705,"DF","Travelling",0.01113,1.01182,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33130,54.68593,-5.6069,"DF","Travelling",0.01113,1.02219,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33131,54.68598,-5.60675,"DF","Travelling",0.01113,1.03258,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33132,54.68603,-5.6066,"DF","Travelling",0.01113,1.04298,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33133,54.68608,-5.60645,"DF","Travelling",0.01101,1.0534,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33134,54.68612,-5.60629,"DF","Travelling",0.01101,1.06325,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33135,54.68616,-5.60614,"DF","Travelling",0.01101,1.07312,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33136,54.6862,-5.60598,"DF","Travelling",0.01101,1.08301,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33137,54.68624,-5.60582,"DF","Travelling",0.01101,1.09292,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33138,54.68628,-5.60567,"DF","Travelling",0.01056,1.10286,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33139,54.68629,-5.6055,"DF","Travelling",0.01056,1.11057,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33140,54.6863,-5.60534,"DF","Travelling",0.01056,1.11832,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33141,54.68631,-5.60518,"DF","Travelling",0.01056,1.12613,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33142,54.68632,-5.60501,"DF","Travelling",0.01056,1.13397,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33143,54.68633,-5.60485,"DF","Travelling",0.01135,1.14187,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33144,54.68632,-5.60468,"DF","Travelling",0.01135,1.14836,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33145,54.68631,-5.6045,"DF","Travelling",0.01135,1.15492,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33146,54.68629,-5.60432,"DF","Travelling",0.01135,1.16157,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33147,54.68628,-5.60415,"DF","Travelling",0.01135,1.16828,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33148,54.68626,-5.60398,"DF","Travelling",0.01135,1.17507,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33149,54.68625,-5.6038,"DF","Travelling",0.01186,1.18193,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33150,54.68623,-5.60362,"DF","Travelling",0.01186,1.18835,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33151,54.6862,-5.60344,"DF","Travelling",0.01186,1.19485,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33152,54.68618,-5.60326,"DF","Travelling",0.01186,1.20144,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33153,54.68616,-5.60308,"DF","Travelling",0.01186,1.20811,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33154,54.68613,-5.6029,"DF","Travelling",0.01144,1.21486,"Chick",0
"Cockle Island, Groomsport","2010-07-20",23,"Sandwich",33155,54.68611,-5.60273,"DF","Travelling",0.01144,1.22137,"Chick",0
