"COLONY","DATE_","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST_COL_K","STAGE","COMPLETE"
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57973,54.73046,-5.59555,"AS","Foraging",0.00226,5.91773,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57974,54.73048,-5.59556,"AS","Foraging",0.00226,5.9198,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57975,54.7305,-5.59557,"AS","Foraging",0.00187,5.92187,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57976,54.73052,-5.59556,"AS","Foraging",0.00187,5.92372,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57977,54.73053,-5.59556,"AS","Foraging",0.00187,5.92558,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57978,54.73055,-5.59556,"AS","Foraging",0.00187,5.92743,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57979,54.73057,-5.59555,"AS","Foraging",0.00187,5.92929,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57980,54.73058,-5.59555,"AS","Foraging",0.00113,5.93114,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57981,54.73059,-5.59554,"AS","Foraging",0.00113,5.93206,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57982,54.7306,-5.59552,"AS","Foraging",0.00113,5.93298,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57983,54.7306,-5.59551,"AS","Foraging",0.00113,5.9339,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57984,54.73061,-5.5955,"AS","Foraging",0.00113,5.93483,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57985,54.73062,-5.59548,"AS","Foraging",0.00074,5.93575,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57986,54.73062,-5.59547,"AS","Foraging",0.00074,5.93626,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57987,54.73062,-5.59546,"AS","Foraging",0.00074,5.93677,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57988,54.73063,-5.59545,"AS","Foraging",0.00074,5.93728,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57989,54.73063,-5.59544,"AS","Foraging",0.00074,5.93779,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57990,54.73063,-5.59543,"AS","Foraging",0.00113,5.9383,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57991,54.73064,-5.59542,"AS","Foraging",0.00113,5.93891,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57992,54.73064,-5.5954,"AS","Foraging",0.00113,5.93952,"Incubation",1
"Cockle Island, Groomsport","2010-06-16",12,"Arctic",57993,54.73064,-5.59538,"AS","Foraging",0.00113,5.94013,"Incubation",1
