"ID","TSECS_BST","observedState","decodedState"
1,48182,"Foraging","Not-foraging"
1,48183,"Foraging","Not-foraging"
1,48184,"Foraging","Not-foraging"
1,48185,"Foraging","Not-foraging"
1,48186,"Foraging","Not-foraging"
1,48187,"Foraging","Not-foraging"
1,48188,"Foraging","Not-foraging"
1,48189,"Foraging","Not-foraging"
1,48190,"Not-foraging","Not-foraging"
1,48191,"Not-foraging","Not-foraging"
1,48192,"Not-foraging","Not-foraging"
1,48193,"Not-foraging","Not-foraging"
1,48194,"Not-foraging","Not-foraging"
1,48195,"Not-foraging","Foraging"
1,48196,"Not-foraging","Not-foraging"
1,48197,"Not-foraging","Not-foraging"
1,48198,"Not-foraging","Not-foraging"
1,48199,"Not-foraging","Not-foraging"
1,48200,"Not-foraging","Not-foraging"
1,48201,"Not-foraging","Not-foraging"
1,48202,"Not-foraging","Not-foraging"
1,48203,"Not-foraging","Foraging"
1,48204,"Not-foraging","Not-foraging"
1,48205,"Not-foraging","Not-foraging"
1,48206,"Not-foraging","Not-foraging"
1,48207,"Not-foraging","Not-foraging"
1,48208,"Not-foraging","Not-foraging"
1,48209,"Not-foraging","Not-foraging"
1,48210,"Not-foraging","Not-foraging"
1,48211,"Not-foraging","Not-foraging"
1,48212,"Not-foraging","Not-foraging"
1,48213,"Not-foraging","Not-foraging"
1,48214,"Not-foraging","Not-foraging"
1,48215,"Not-foraging","Not-foraging"
1,48216,"Not-foraging","Not-foraging"
1,48217,"Not-foraging","Not-foraging"
1,48218,"Not-foraging","Not-foraging"
1,48219,"Not-foraging","Not-foraging"
1,48220,"Not-foraging","Not-foraging"
1,48221,"Not-foraging","Not-foraging"
1,48222,"Not-foraging","Not-foraging"
1,48223,"Not-foraging","Not-foraging"
1,48224,"Not-foraging","Not-foraging"
1,48225,"Not-foraging","Not-foraging"
1,48226,"Not-foraging","Not-foraging"
1,48227,"Not-foraging","Not-foraging"
1,48228,"Not-foraging","Not-foraging"
1,48229,"Not-foraging","Not-foraging"
1,48230,"Not-foraging","Not-foraging"
1,48231,"Not-foraging","Not-foraging"
1,48232,"Not-foraging","Not-foraging"
1,48233,"Not-foraging","Not-foraging"
1,48234,"Not-foraging","Not-foraging"
1,48235,"Not-foraging","Not-foraging"
1,48236,"Not-foraging","Not-foraging"
1,48237,"Not-foraging","Not-foraging"
1,48238,"Not-foraging","Not-foraging"
1,48239,"Not-foraging","Not-foraging"
1,48240,"Not-foraging","Not-foraging"
1,48241,"Not-foraging","Not-foraging"
1,48242,"Not-foraging","Not-foraging"
1,48243,"Not-foraging","Not-foraging"
1,48244,"Not-foraging","Not-foraging"
1,48245,"Not-foraging","Not-foraging"
1,48246,"Not-foraging","Not-foraging"
1,48247,"Not-foraging","Not-foraging"
1,48248,"Not-foraging","Not-foraging"
1,48249,"Not-foraging","Not-foraging"
1,48250,"Not-foraging","Not-foraging"
1,48251,"Not-foraging","Not-foraging"
1,48252,"Not-foraging","Not-foraging"
1,48253,"Not-foraging","Not-foraging"
1,48254,"Not-foraging","Not-foraging"
1,48255,"Not-foraging","Not-foraging"
1,48256,"Not-foraging","Not-foraging"
1,48257,"Not-foraging","Not-foraging"
1,48258,"Not-foraging","Not-foraging"
1,48259,"Not-foraging","Not-foraging"
1,48260,"Not-foraging","Not-foraging"
1,48261,"Not-foraging","Not-foraging"
1,48262,"Not-foraging","Not-foraging"
1,48263,"Not-foraging","Not-foraging"
1,48264,"Not-foraging","Not-foraging"
1,48265,"Not-foraging","Not-foraging"
1,48266,"Not-foraging","Not-foraging"
1,48267,"Not-foraging","Foraging"
