"COLONY","ID","SPECIES","STAGE","TSECS","observedState","decodedState"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36780,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36781,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36782,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36783,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36784,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36785,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36786,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36787,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36788,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36789,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36790,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36791,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36792,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36793,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36794,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36795,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36796,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36797,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36798,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36799,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36800,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36801,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36802,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36803,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36804,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36805,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36806,"Not-foraging","Not-foraging"
"Blue Circle Is, Larne Lough",1,"Roseate","Incubation",36807,"Not-foraging","Not-foraging"
