"ID","SPECIES","TSECS_GMT","observedState","decodedState"
6,"A",46380,"Foraging","Foraging"
6,"A",46381,"Foraging","Foraging"
6,"A",46382,"Foraging","Foraging"
6,"A",46383,"Foraging","Foraging"
6,"A",46384,"Foraging","Foraging"
6,"A",46385,"Foraging","Foraging"
6,"A",46386,"Foraging","Foraging"
6,"A",46387,"Foraging","Foraging"
6,"A",46388,"Foraging","Foraging"
6,"A",46389,"Foraging","Foraging"
6,"A",46390,"Foraging","Foraging"
6,"A",46391,"Foraging","Foraging"
6,"A",46392,"Foraging","Foraging"
6,"A",46393,"Foraging","Foraging"
6,"A",46394,"Foraging","Foraging"
6,"A",46395,"Foraging","Foraging"
6,"A",46396,"Foraging","Foraging"
6,"A",46397,"Foraging","Foraging"
6,"A",46398,"Foraging","Foraging"
6,"A",46399,"Foraging","Foraging"
6,"A",46400,"Foraging","Foraging"
6,"A",46401,"Foraging","Foraging"
6,"A",46402,"Foraging","Foraging"
6,"A",46403,"Foraging","Foraging"
6,"A",46404,"Foraging","Foraging"
6,"A",46405,"Foraging","Foraging"
6,"A",46406,"Foraging","Foraging"
6,"A",46407,"Foraging","Foraging"
6,"A",46408,"Foraging","Foraging"
6,"A",46409,"Foraging","Foraging"
6,"A",46410,"Foraging","Foraging"
6,"A",46411,"Foraging","Foraging"
6,"A",46412,"Foraging","Foraging"
6,"A",46413,"Foraging","Foraging"
6,"A",46414,"Foraging","Foraging"
6,"A",46415,"Foraging","Foraging"
6,"A",46416,"Foraging","Foraging"
6,"A",46417,"Foraging","Foraging"
6,"A",46418,"Foraging","Foraging"
6,"A",46419,"Foraging","Foraging"
6,"A",46420,"Foraging","Foraging"
6,"A",46421,"Foraging","Foraging"
6,"A",46422,"Foraging","Foraging"
6,"A",46423,"Foraging","Foraging"
6,"A",46424,"Foraging","Foraging"
6,"A",46425,"Foraging","Foraging"
6,"A",46426,"Foraging","Foraging"
6,"A",46427,"Foraging","Foraging"
6,"A",46428,"Foraging","Foraging"
6,"A",46429,"Foraging","Foraging"
6,"A",46430,"Foraging","Foraging"
6,"A",46431,"Foraging","Foraging"
6,"A",46432,"Foraging","Foraging"
6,"A",46433,"Foraging","Foraging"
6,"A",46434,"Foraging","Foraging"
6,"A",46435,"Foraging","Foraging"
6,"A",46436,"Foraging","Foraging"
6,"A",46437,"Foraging","Foraging"
6,"A",46438,"Foraging","Foraging"
6,"A",46439,"Foraging","Foraging"
6,"A",46440,"Foraging","Foraging"
6,"A",46441,"Foraging","Foraging"
6,"A",46442,"Foraging","Foraging"
6,"A",46443,"Foraging","Foraging"
6,"A",46444,"Foraging","Foraging"
6,"A",46445,"Foraging","Foraging"
6,"A",46446,"Foraging","Foraging"
6,"A",46447,"Foraging","Foraging"
6,"A",46448,"Foraging","Foraging"
6,"A",46449,"Foraging","Foraging"
6,"A",46450,"Foraging","Foraging"
6,"A",46451,"Foraging","Foraging"
6,"A",46452,"Foraging","Foraging"
6,"A",46453,"Foraging","Foraging"
6,"A",46454,"Foraging","Foraging"
6,"A",46455,"Foraging","Foraging"
6,"A",46456,"Foraging","Foraging"
6,"A",46457,"Foraging","Foraging"
6,"A",46458,"Foraging","Foraging"
6,"A",46459,"Foraging","Foraging"
6,"A",46460,"Foraging","Foraging"
6,"A",46461,"Foraging","Foraging"
6,"A",46462,"Foraging","Foraging"
6,"A",46463,"Foraging","Foraging"
6,"A",46464,"Foraging","Foraging"
6,"A",46465,"Foraging","Foraging"
6,"A",46466,"Foraging","Foraging"
6,"A",46467,"Foraging","Foraging"
6,"A",46468,"Foraging","Foraging"
6,"A",46469,"Foraging","Foraging"
6,"A",46470,"Foraging","Foraging"
6,"A",46471,"Foraging","Foraging"
6,"A",46472,"Foraging","Foraging"
6,"A",46473,"Foraging","Foraging"
6,"A",46474,"Foraging","Foraging"
6,"A",46475,"Foraging","Foraging"
6,"A",46476,"Foraging","Foraging"
6,"A",46477,"Foraging","Foraging"
6,"A",46478,"Foraging","Foraging"
6,"A",46479,"Foraging","Foraging"
6,"A",46480,"Foraging","Foraging"
6,"A",46481,"Foraging","Foraging"
6,"A",46482,"Foraging","Foraging"
6,"A",46483,"Foraging","Foraging"
6,"A",46484,"Foraging","Foraging"
6,"A",46485,"Foraging","Foraging"
6,"A",46486,"Foraging","Foraging"
6,"A",46487,"Foraging","Foraging"
6,"A",46488,"Foraging","Foraging"
6,"A",46489,"Foraging","Foraging"
6,"A",46490,"Foraging","Foraging"
6,"A",46491,"Foraging","Foraging"
6,"A",46492,"Foraging","Foraging"
6,"A",46493,"Foraging","Foraging"
6,"A",46494,"Foraging","Foraging"
6,"A",46495,"Foraging","Foraging"
6,"A",46496,"Foraging","Foraging"
6,"A",46497,"Foraging","Foraging"
6,"A",46498,"Foraging","Foraging"
6,"A",46499,"Foraging","Foraging"
6,"A",46500,"Foraging","Foraging"
6,"A",46501,"Foraging","Foraging"
6,"A",46502,"Foraging","Foraging"
6,"A",46503,"Foraging","Foraging"
6,"A",46504,"Foraging","Foraging"
6,"A",46505,"Foraging","Foraging"
6,"A",46506,"Foraging","Foraging"
6,"A",46507,"Foraging","Foraging"
6,"A",46508,"Foraging","Foraging"
6,"A",46509,"Foraging","Foraging"
6,"A",46510,"Foraging","Foraging"
6,"A",46511,"Foraging","Foraging"
6,"A",46512,"Foraging","Foraging"
6,"A",46513,"Foraging","Foraging"
6,"A",46514,"Foraging","Foraging"
6,"A",46515,"Foraging","Foraging"
6,"A",46516,"Foraging","Foraging"
6,"A",46517,"Foraging","Not-foraging"
6,"A",46518,"Foraging","Not-foraging"
6,"A",46519,"Foraging","Not-foraging"
6,"A",46520,"Foraging","Not-foraging"
6,"A",46521,"Foraging","Not-foraging"
6,"A",46522,"Foraging","Not-foraging"
6,"A",46523,"Foraging","Not-foraging"
6,"A",46524,"Foraging","Not-foraging"
6,"A",46525,"Foraging","Foraging"
