"ID","SPECIES","STAGE","TSECS","observedState","decodedState"
23,"Sandwich","Chick",33193,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33194,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33195,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33196,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33197,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33198,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33199,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33200,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33201,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33202,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33203,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33204,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33205,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33206,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33207,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33208,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33209,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33210,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33211,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33212,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33213,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33214,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33215,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33216,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33217,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33218,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33219,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33220,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33221,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33222,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33223,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33224,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33225,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33226,"Not-foraging","Not-foraging"
