"ID","SPECIES","BSTTSECS","observedState","decodedState"
2,"Sandwich",36213,"Not-foraging","Not-foraging"
2,"Sandwich",36214,"Not-foraging","Not-foraging"
2,"Sandwich",36215,"Foraging","Not-foraging"
2,"Sandwich",36216,"Foraging","Not-foraging"
2,"Sandwich",36217,"Foraging","Not-foraging"
2,"Sandwich",36218,"Foraging","Not-foraging"
2,"Sandwich",36219,"Foraging","Not-foraging"
2,"Sandwich",36220,"Foraging","Not-foraging"
2,"Sandwich",36221,"Foraging","Foraging"
2,"Sandwich",36222,"Foraging","Foraging"
2,"Sandwich",36223,"Foraging","Foraging"
2,"Sandwich",36224,"Foraging","Foraging"
2,"Sandwich",36225,"Foraging","Foraging"
2,"Sandwich",36226,"Foraging","Foraging"
2,"Sandwich",36227,"Foraging","Foraging"
2,"Sandwich",36228,"Foraging","Foraging"
2,"Sandwich",36229,"Foraging","Foraging"
2,"Sandwich",36230,"Foraging","Foraging"
2,"Sandwich",36231,"Foraging","Foraging"
2,"Sandwich",36232,"Foraging","Foraging"
2,"Sandwich",36233,"Foraging","Foraging"
2,"Sandwich",36234,"Foraging","Foraging"
2,"Sandwich",36235,"Foraging","Foraging"
2,"Sandwich",36236,"Foraging","Foraging"
2,"Sandwich",36237,"Foraging","Foraging"
2,"Sandwich",36238,"Foraging","Foraging"
2,"Sandwich",36239,"Foraging","Foraging"
2,"Sandwich",36240,"Foraging","Foraging"
2,"Sandwich",36241,"Foraging","Foraging"
2,"Sandwich",36242,"Foraging","Foraging"
2,"Sandwich",36243,"Foraging","Foraging"
2,"Sandwich",36244,"Foraging","Foraging"
2,"Sandwich",36245,"Foraging","Not-foraging"
2,"Sandwich",36246,"Not-foraging","Not-foraging"
2,"Sandwich",36247,"Not-foraging","Not-foraging"
2,"Sandwich",36248,"Not-foraging","Not-foraging"
2,"Sandwich",36249,"Not-foraging","Not-foraging"
2,"Sandwich",36250,"Not-foraging","Not-foraging"
2,"Sandwich",36251,"Not-foraging","Not-foraging"
2,"Sandwich",36252,"Not-foraging","Not-foraging"
2,"Sandwich",36253,"Not-foraging","Not-foraging"
2,"Sandwich",36254,"Not-foraging","Not-foraging"
2,"Sandwich",36255,"Not-foraging","Not-foraging"
2,"Sandwich",36256,"Not-foraging","Not-foraging"
2,"Sandwich",36257,"Not-foraging","Not-foraging"
2,"Sandwich",36258,"Not-foraging","Not-foraging"
2,"Sandwich",36259,"Not-foraging","Not-foraging"
2,"Sandwich",36260,"Not-foraging","Not-foraging"
2,"Sandwich",36261,"Not-foraging","Not-foraging"
2,"Sandwich",36262,"Not-foraging","Not-foraging"
2,"Sandwich",36263,"Not-foraging","Not-foraging"
2,"Sandwich",36264,"Not-foraging","Not-foraging"
2,"Sandwich",36265,"Not-foraging","Not-foraging"
2,"Sandwich",36266,"Not-foraging","Not-foraging"
2,"Sandwich",36267,"Not-foraging","Not-foraging"
2,"Sandwich",36268,"Not-foraging","Not-foraging"
2,"Sandwich",36269,"Not-foraging","Not-foraging"
2,"Sandwich",36270,"Not-foraging","Not-foraging"
2,"Sandwich",36271,"Not-foraging","Not-foraging"
2,"Sandwich",36272,"Not-foraging","Foraging"
2,"Sandwich",36273,"Not-foraging","Foraging"
2,"Sandwich",36274,"Not-foraging","Foraging"
2,"Sandwich",36275,"Not-foraging","Foraging"
2,"Sandwich",36276,"Not-foraging","Not-foraging"
