"ID","SPECIES","TSECS_GMT","observedState","decodedState"
2,"C",34110,"Foraging","Foraging"
2,"C",34111,"Foraging","Foraging"
2,"C",34112,"Foraging","Foraging"
2,"C",34113,"Foraging","Foraging"
2,"C",34114,"Foraging","Foraging"
2,"C",34115,"Foraging","Foraging"
2,"C",34116,"Foraging","Foraging"
2,"C",34117,"Foraging","Foraging"
2,"C",34118,"Foraging","Foraging"
2,"C",34119,"Foraging","Foraging"
2,"C",34120,"Foraging","Foraging"
2,"C",34121,"Foraging","Foraging"
2,"C",34122,"Foraging","Foraging"
2,"C",34123,"Foraging","Foraging"
2,"C",34124,"Foraging","Foraging"
2,"C",34125,"Foraging","Foraging"
2,"C",34126,"Foraging","Foraging"
2,"C",34127,"Foraging","Foraging"
2,"C",34128,"Foraging","Foraging"
2,"C",34129,"Foraging","Foraging"
2,"C",34130,"Foraging","Foraging"
2,"C",34131,"Foraging","Foraging"
2,"C",34132,"Foraging","Foraging"
2,"C",34133,"Foraging","Foraging"
2,"C",34134,"Foraging","Foraging"
2,"C",34135,"Foraging","Foraging"
2,"C",34136,"Foraging","Foraging"
2,"C",34137,"Foraging","Foraging"
2,"C",34138,"Foraging","Foraging"
2,"C",34139,"Foraging","Foraging"
2,"C",34140,"Foraging","Foraging"
2,"C",34141,"Foraging","Foraging"
2,"C",34142,"Foraging","Foraging"
2,"C",34143,"Foraging","Foraging"
2,"C",34144,"Foraging","Foraging"
2,"C",34145,"Foraging","Foraging"
2,"C",34146,"Foraging","Foraging"
2,"C",34147,"Foraging","Foraging"
2,"C",34148,"Foraging","Foraging"
2,"C",34149,"Foraging","Foraging"
2,"C",34150,"Foraging","Foraging"
2,"C",34151,"Foraging","Foraging"
2,"C",34152,"Foraging","Foraging"
2,"C",34153,"Foraging","Foraging"
2,"C",34154,"Foraging","Foraging"
2,"C",34155,"Foraging","Foraging"
2,"C",34156,"Foraging","Foraging"
2,"C",34157,"Foraging","Foraging"
2,"C",34158,"Foraging","Foraging"
2,"C",34159,"Foraging","Foraging"
2,"C",34160,"Foraging","Foraging"
2,"C",34161,"Foraging","Foraging"
2,"C",34162,"Foraging","Foraging"
2,"C",34163,"Foraging","Foraging"
2,"C",34164,"Foraging","Foraging"
2,"C",34165,"Foraging","Foraging"
2,"C",34166,"Foraging","Foraging"
2,"C",34167,"Foraging","Foraging"
2,"C",34168,"Foraging","Foraging"
2,"C",34169,"Foraging","Foraging"
2,"C",34170,"Foraging","Foraging"
2,"C",34171,"Foraging","Foraging"
2,"C",34172,"Foraging","Foraging"
2,"C",34173,"Foraging","Foraging"
2,"C",34174,"Foraging","Foraging"
2,"C",34175,"Foraging","Foraging"
2,"C",34176,"Foraging","Foraging"
2,"C",34177,"Foraging","Foraging"
2,"C",34178,"Foraging","Foraging"
2,"C",34179,"Foraging","Foraging"
2,"C",34180,"Foraging","Foraging"
2,"C",34181,"Foraging","Foraging"
2,"C",34182,"Foraging","Foraging"
2,"C",34183,"Foraging","Foraging"
2,"C",34184,"Foraging","Foraging"
2,"C",34185,"Foraging","Foraging"
2,"C",34186,"Foraging","Foraging"
2,"C",34187,"Foraging","Foraging"
2,"C",34188,"Foraging","Foraging"
2,"C",34189,"Foraging","Foraging"
2,"C",34190,"Foraging","Foraging"
2,"C",34191,"Foraging","Foraging"
2,"C",34192,"Foraging","Foraging"
2,"C",34193,"Foraging","Foraging"
2,"C",34194,"Foraging","Foraging"
2,"C",34195,"Foraging","Foraging"
2,"C",34196,"Foraging","Foraging"
2,"C",34197,"Foraging","Foraging"
2,"C",34198,"Foraging","Foraging"
2,"C",34199,"Foraging","Foraging"
2,"C",34200,"Foraging","Foraging"
2,"C",34201,"Foraging","Foraging"
2,"C",34202,"Foraging","Foraging"
2,"C",34203,"Foraging","Foraging"
2,"C",34204,"Foraging","Foraging"
2,"C",34205,"Foraging","Foraging"
2,"C",34206,"Foraging","Foraging"
2,"C",34207,"Foraging","Foraging"
2,"C",34208,"Foraging","Foraging"
2,"C",34209,"Foraging","Foraging"
2,"C",34210,"Foraging","Foraging"
2,"C",34211,"Foraging","Foraging"
2,"C",34212,"Foraging","Foraging"
