"COLONY","ID","SPECIES","TSECS","observedState","decodedState"
"Glas Eileanan",2,"C",39882,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39883,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39884,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39885,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39886,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39887,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39888,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39889,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39890,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39891,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39892,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39893,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39894,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39895,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39896,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39897,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39898,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39899,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39900,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39901,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39902,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39903,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39904,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39905,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39906,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39907,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39908,"Not-foraging","Not-foraging"
"Glas Eileanan",2,"C",39909,"Foraging","Not-foraging"
"Glas Eileanan",2,"C",39910,"Foraging","Not-foraging"
"Glas Eileanan",2,"C",39911,"Foraging","Not-foraging"
"Glas Eileanan",2,"C",39912,"Foraging","Not-foraging"
"Glas Eileanan",2,"C",39913,"Foraging","Not-foraging"
"Glas Eileanan",2,"C",39914,"Foraging","Not-foraging"
"Glas Eileanan",2,"C",39915,"Foraging","Not-foraging"
"Glas Eileanan",2,"C",39916,"Foraging","Not-foraging"
